epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7081,0.81714,2.45039,1.20867,0.91373,0.53987,0.81519,0.64151,0.75766,2.24723,1.14429,0.000411111,0.000411111,0.000411111
2,28.4861,0.91361,1.50496,1.25467,0.68635,0.72594,0.75561,0.51956,1.04358,1.77986,1.47772,0.000819583,0.000819583,0.000819583
3,42.4078,0.96214,1.43404,1.28203,0.81401,0.70448,0.81251,0.54377,1.12107,1.43552,1.49464,0.0012198,0.0012198,0.0012198
4,55.9253,0.98877,1.34808,1.2914,0.79194,0.67706,0.78661,0.54515,1.05006,1.29992,1.44266,0.00121287,0.00121287,0.00121287
5,69.3667,0.97743,1.26918,1.29116,0.68457,0.78783,0.8067,0.58028,0.90506,1.1757,1.29414,0.0012005,0.0012005,0.0012005
6,83.1619,0.91897,1.11648,1.24937,0.81259,0.79293,0.87033,0.6267,0.9653,1.12396,1.35596,0.00118812,0.00118812,0.00118812
7,96.7251,0.91556,1.06761,1.24439,0.79816,0.70985,0.84263,0.63617,0.8821,1.05401,1.25545,0.00117575,0.00117575,0.00117575
8,110.301,0.91189,1.0268,1.24585,0.85898,0.81284,0.89304,0.70329,0.85882,0.97756,1.2619,0.00116337,0.00116337,0.00116337
9,123.68,0.86981,0.98255,1.22003,0.86686,0.78968,0.88328,0.66975,0.86343,0.87078,1.26065,0.001151,0.001151,0.001151
10,137.712,0.85447,0.93357,1.20512,0.90081,0.83427,0.91298,0.71379,0.81603,0.75561,1.19184,0.00113863,0.00113863,0.00113863
11,152.492,0.85257,0.90563,1.204,0.86582,0.81927,0.90932,0.72569,0.79578,0.80019,1.1958,0.00112625,0.00112625,0.00112625
12,166.385,0.82453,0.86755,1.1914,0.84552,0.87774,0.89348,0.69133,0.8248,0.80634,1.21575,0.00111388,0.00111388,0.00111388
13,180.309,0.82406,0.85904,1.18441,0.95287,0.82762,0.94414,0.76518,0.74047,0.63771,1.14738,0.0011015,0.0011015,0.0011015
14,194.507,0.83268,0.84333,1.19514,0.88781,0.7829,0.89498,0.69067,0.80375,0.86892,1.21287,0.00108913,0.00108913,0.00108913
15,208.382,0.79594,0.81639,1.17219,0.9003,0.86377,0.93593,0.75505,0.74264,0.64678,1.15195,0.00107675,0.00107675,0.00107675
16,222.436,0.81486,0.78916,1.18483,0.8751,0.75162,0.88669,0.67972,0.83006,0.82487,1.25634,0.00106437,0.00106437,0.00106437
17,237.147,0.7913,0.78302,1.16947,0.85043,0.81978,0.89378,0.7169,0.77865,0.79055,1.19631,0.001052,0.001052,0.001052
18,251.289,0.79772,0.75335,1.16327,0.9271,0.8668,0.94777,0.77553,0.71321,0.59822,1.14234,0.00103962,0.00103962,0.00103962
19,266.06,0.78494,0.73326,1.15279,0.90467,0.85221,0.93868,0.76996,0.68502,0.63938,1.10468,0.00102725,0.00102725,0.00102725
20,280.328,0.77138,0.74498,1.15968,0.89116,0.84042,0.93264,0.75393,0.75382,0.68079,1.14508,0.00101488,0.00101488,0.00101488
21,294.221,0.76434,0.73658,1.15281,0.94432,0.84483,0.93735,0.75654,0.73999,0.62269,1.14216,0.0010025,0.0010025,0.0010025
22,308.115,0.77915,0.73508,1.15614,0.93263,0.85185,0.93191,0.74469,0.73611,0.62998,1.15544,0.000990125,0.000990125,0.000990125
23,322.68,0.74136,0.69722,1.14137,0.86666,0.89865,0.92746,0.76327,0.68378,0.61073,1.11778,0.00097775,0.00097775,0.00097775
24,337.342,0.7436,0.67965,1.1379,0.93115,0.87075,0.94777,0.77092,0.68039,0.57637,1.10076,0.000965375,0.000965375,0.000965375
25,351.276,0.73161,0.67648,1.13106,0.93109,0.90437,0.95666,0.76669,0.73812,0.55326,1.17891,0.000953,0.000953,0.000953
26,364.932,0.73826,0.66573,1.12979,0.92253,0.87728,0.95131,0.77566,0.69131,0.58903,1.10326,0.000940625,0.000940625,0.000940625
27,378.987,0.74684,0.68654,1.13526,0.93247,0.87299,0.94917,0.78173,0.68872,0.54749,1.09884,0.00092825,0.00092825,0.00092825
28,392.897,0.72406,0.633,1.11902,0.91766,0.83876,0.91359,0.73828,0.71658,0.64334,1.14244,0.000915875,0.000915875,0.000915875
29,406.567,0.72989,0.65752,1.11938,0.95582,0.88962,0.95891,0.80221,0.69014,0.50369,1.10985,0.0009035,0.0009035,0.0009035
30,420.551,0.69974,0.62069,1.10397,0.96455,0.85568,0.95651,0.79476,0.7102,0.542,1.11728,0.000891125,0.000891125,0.000891125
31,434.737,0.71276,0.61871,1.10412,0.9712,0.88537,0.96422,0.80083,0.67935,0.4954,1.11422,0.00087875,0.00087875,0.00087875
32,448.751,0.69277,0.59571,1.10545,0.94259,0.90434,0.95839,0.80209,0.65147,0.50356,1.0829,0.000866375,0.000866375,0.000866375
33,462.44,0.69757,0.63223,1.10649,0.92091,0.93583,0.96252,0.79752,0.68928,0.48824,1.10725,0.000854,0.000854,0.000854
34,476.226,0.6988,0.60259,1.09946,0.94675,0.87176,0.94436,0.78871,0.70195,0.52884,1.13385,0.000841625,0.000841625,0.000841625
35,489.846,0.70536,0.61159,1.11416,0.93918,0.92275,0.9598,0.81422,0.63911,0.48988,1.06636,0.00082925,0.00082925,0.00082925
36,503.801,0.69278,0.61178,1.09953,0.91946,0.85198,0.94214,0.78661,0.68324,0.57744,1.10853,0.000816875,0.000816875,0.000816875
37,517.688,0.67797,0.60314,1.09019,0.95577,0.8572,0.94971,0.80596,0.65573,0.5346,1.09378,0.0008045,0.0008045,0.0008045
38,531.702,0.68215,0.57608,1.08987,0.92959,0.89593,0.94423,0.80417,0.64118,0.54328,1.05887,0.000792125,0.000792125,0.000792125
39,546.089,0.6638,0.5836,1.09178,0.96084,0.89872,0.96524,0.81155,0.63994,0.44667,1.07937,0.00077975,0.00077975,0.00077975
40,560.64,0.67397,0.56599,1.08187,0.94258,0.88798,0.95815,0.79716,0.66285,0.50403,1.10431,0.000767375,0.000767375,0.000767375
41,574.674,0.65251,0.55828,1.07397,0.96688,0.90436,0.96917,0.8149,0.66494,0.4531,1.09904,0.000755,0.000755,0.000755
42,588.762,0.66143,0.55849,1.08995,0.93903,0.91422,0.96219,0.82266,0.62291,0.47455,1.06649,0.000742625,0.000742625,0.000742625
43,602.519,0.63838,0.53964,1.0671,0.9589,0.88953,0.96743,0.80748,0.67008,0.45874,1.09681,0.00073025,0.00073025,0.00073025
44,617.043,0.65191,0.54729,1.07023,0.96847,0.89553,0.9574,0.80066,0.67735,0.48645,1.10292,0.000717875,0.000717875,0.000717875
45,631.395,0.65323,0.5469,1.07769,0.95733,0.90874,0.96898,0.82204,0.63885,0.45666,1.07261,0.0007055,0.0007055,0.0007055
46,645.393,0.65112,0.55105,1.07468,0.92769,0.91979,0.95971,0.81149,0.64677,0.46582,1.08649,0.000693125,0.000693125,0.000693125
47,659.554,0.64086,0.53144,1.06649,0.94292,0.92693,0.96405,0.82282,0.63365,0.42206,1.07982,0.00068075,0.00068075,0.00068075
48,673.382,0.6339,0.53174,1.06502,0.96713,0.9117,0.96846,0.82182,0.64293,0.43468,1.0859,0.000668375,0.000668375,0.000668375
49,687.293,0.63675,0.5339,1.06343,0.95318,0.92361,0.96854,0.83179,0.63481,0.43955,1.07258,0.000656,0.000656,0.000656
50,701.447,0.62492,0.50994,1.06029,0.95212,0.89376,0.964,0.83132,0.61318,0.44349,1.07146,0.000643625,0.000643625,0.000643625
51,715.649,0.62482,0.51333,1.06737,0.95206,0.90547,0.96908,0.8274,0.63448,0.44891,1.06257,0.00063125,0.00063125,0.00063125
